delivery_partner_id,partner_name,rating
109,Anthony Cruz,4.3
110,Jo Bright,3.5
111,Brittany Lewis,4.2
112,Louis Hamilton,4.6
113,Jeffrey Fuller,3.5
114,Elaine Miller,4.1
115,Richard Mitchell,3.7
116,Roy Chavez,4.5
117,Monica Odonnell,4.9
118,Annette Young,4.4
119,Jonathan Jensen,4.5
120,Scott Walker Jr.,4.1
121,Elizabeth Li,4.3
122,Vanessa Rice,4.3
123,Matthew Young,4.6
124,Lisa Munoz,4.8
125,Maria Hernandez,4.5
126,Angel Brown,5.0
127,Lauren Rowland,4.7
128,Jonathan Dalton,3.7
129,Brent Hardy,4.3
130,Keith Boyd,4.9
131,Allen Warren,4.9
132,Joseph Porter,4.1
133,William Austin,4.6
134,Christopher Wolf,4.1
135,Patrick Cox,3.7
136,Douglas Wagner,4.8
137,Daniel Norris,4.9
138,Jason Horton,4.3
139,Sheena Quinn,3.5
140,Carmen Garza,4.7
141,James Collier,4.2
142,Thomas Schroeder,3.6
143,Bailey Carr,3.8
144,Jeffrey Mcmahon,3.7
145,Jasmine Williams,4.5
146,Dr. Jason Cunningham,3.9
147,Johnathan Fox,3.7
148,Luke Jackson,4.9
149,Andrea Perry,4.9
150,Omar Brown,3.7
151,Veronica Wilson,3.8
152,Alyssa Ruiz,4.4
153,Mark Adams,3.7
154,William George,3.7
155,Kylie King,4.0
156,Lonnie Olson,4.9
157,Geoffrey Reeves,4.9
158,Lawrence Long,4.8
159,Mr. Theodore Lopez,4.5
160,Jennifer Gross,4.6
161,David Miller Jr.,4.2
162,Jeff Henry,4.3
163,Catherine Wiggins,4.5
164,Matthew Nelson,4.6
165,Susan Schultz,3.6
166,Juan Smith,3.8
167,Mrs. Christine Gonzalez,4.9
168,Alexandra Simmons,4.0
169,Kristin Hatfield,3.9
170,Kayla Franco,4.1
171,Logan Nguyen,3.9
172,Charles Holmes,3.6
173,Anthony Perez,3.8
174,Jessica Roberts,4.5
175,Michael Miller,3.8
176,Paul Carter MD,4.5
177,Matthew Martin,3.7
178,Emma Lawson,3.6
179,Randy Jones,4.8
180,Michael Wilson,4.6
181,Ashley Salinas,4.5
182,David Phelps,3.5
183,Bridget Wood,3.9
184,Stephanie Hartman,4.7
185,Shane Evans,3.7
186,James Mata,4.7
187,Johnny Reilly,4.4
188,Kevin Rivera,4.6
189,Cindy Johnson,4.5
190,Lauren Mcdaniel,4.1
191,Lindsay Griffin,3.9
192,Susan Campos,4.5
193,Justin Garza,4.7
194,Melissa Thomas,3.6
195,Craig Mays,4.1
196,Nathan Parker,4.0
197,Michael Cox,4.3
198,Michelle Torres,3.7
199,Connie Hall,4.9
200,Kelly James,4.3
201,Howard Harris,4.9
202,Nancy Morris,4.7
203,Rachael Clarke,3.8
204,Nathaniel Wright,3.7
205,Kelly Hansen,4.8
206,Jennifer Barnes,4.3
207,Diana Patel,3.5
208,Jennifer Valdez,4.9
209,Matthew Oconnor,4.2
210,Mary Sutton,4.0
211,Tammy Perez,4.3
212,Tamara Ferguson,4.7
213,Nancy Roberts,3.7
214,Scott Larsen,4.0
215,Timothy Mahoney,4.0
216,Leslie Sullivan,4.8
217,Michelle Bautista,4.7
218,Karen Taylor,4.1
219,Hannah Davis,4.5
220,Amy Hudson,4.1
221,Curtis Pierce,4.4
222,Michelle Robinson,5.0
223,Steven Greene,4.3
224,Katherine Kane,5.0
225,Dr. Eric Santos,4.6
226,Jacob Donovan,3.7
227,Amy Armstrong,4.7
228,Sean Price,3.7
229,Anita Barber,4.3
230,Michele Anderson,4.4
231,Monique Brown,4.8
232,Stephanie Long,3.8
233,Jennifer Romero,4.8
234,Stephanie Dalton,4.9
235,Jonathon Quinn,3.6
236,Tammy Peterson,4.8
237,John Luna,3.9
238,Jean Lutz,3.6
239,Anthony Mahoney,4.9
240,Jose Martin,4.1
241,Jocelyn Bowen,4.4
242,Russell Moore,4.3
243,Logan Doyle,3.8
244,Mark Rivera,4.5
245,Nathaniel Parker,3.6
246,Pamela Edwards,3.8
247,Audrey Thomas,4.9
248,Sarah Thomas,4.9
249,Erica Rivera,4.2
250,Christy Love,3.8
251,Johnny Banks,4.1
252,Michael Whitaker,4.8
253,Megan Martinez,3.6
254,Jacqueline Moreno,3.7
255,Christopher Harris,4.8
256,Mary Alexander,4.1
257,Dana Rodriguez,3.6
258,Ruben Fields,3.7
259,Kathryn Rose,4.8
260,Sandy Washington,4.2
261,Sandra Bailey,3.7
262,Brian Cardenas,4.8
263,Robert Martinez,4.8
264,Julie Lowe,3.5
265,Regina Montgomery,4.4
266,Kathryn Martin,3.9
267,Susan Meza,4.3
268,William Lozano,3.9
269,Matthew Rodgers,4.0
270,Cynthia Owens,4.4
271,Zachary Davis,4.3
272,Gregory Williams,4.1
273,Amy Carrillo,3.7
274,Kelly Johns,5.0
275,Cynthia Howard,3.8
276,Rose Miller,4.4
277,David Smith,3.6
278,Alan Hart,4.5
279,Alexander Miller,3.6
280,Erik Delgado,3.8
281,William Schultz,4.5
282,Justin Perry,3.9
283,Paul Adams,4.3
284,Kelly Blankenship,3.7
285,Grace Ramos,3.8
286,Robert Carson,4.6
287,Michael Adams,3.6
288,Amanda Knight,3.7
289,Kimberly Torres,3.8
290,Brandon Edwards,3.5
291,Erica Martinez,3.6
292,Christina Jackson,3.9
293,Katrina Graves,3.6
294,Melvin Holloway,4.8
295,Karen Cole,3.6
296,Mrs. Mackenzie Davis,4.8
297,Samuel Strong,4.7
298,Tracey Woodward,3.7
299,Jill Jones,3.5
300,Michael Long,3.6
301,Keith Barber,4.4
302,David Allen,4.5
303,William Gregory,4.4
304,Michael Hickman,4.3
305,Brandon Rivera,3.8
306,Andrea Taylor,4.8
307,Steven Wright,4.0
308,Austin Johnson MD,5.0
309,Renee Schneider,4.1
310,Pamela Davis,3.9
311,Phyllis Daniel,4.8
312,Anita Beck,4.4
313,Brandon White,4.6
314,Jesus Lowe,4.1
315,Angela Reynolds,4.8
316,Anthony Pitts,4.9
317,Gregory Vazquez,4.2
318,Jason Rivera,3.9
319,Justin Hubbard,4.5
320,Justin Garrett,4.9
321,Erica Jackson,4.4
322,Joseph Rodriguez,4.9
323,Clinton Long,4.0
324,Bonnie Garza,4.9
325,Robert Burns,3.7
326,Elizabeth White,4.0
327,William Smith,4.2
328,Douglas Pacheco,4.5
329,Jonathan Logan,3.9
330,Shawn Hall,4.9
331,Richard Dixon PhD,4.9
332,Shannon Parrish,4.7
333,Carlos Rasmussen,3.7
334,Joseph Sanchez,3.6
335,Anthony Townsend,4.2
336,Brett Bryant,4.6
337,Donald Webb,3.7
338,Jonathan Grant,4.5
339,Pamela Robinson,4.3
340,Adam Kirk Jr.,4.6
341,Kaitlyn Foster,4.2
342,Jill Rice,4.5
343,Andrew Bell,3.7
344,Brandon Campbell,3.8
345,Sarah Conner,4.9
346,Peter Kennedy,4.0
347,Mary Holmes DDS,5.0
348,Devin Pierce,3.6
349,Jessica Thomas,4.2
350,Alicia Morris,4.0
351,Benjamin Guzman,5.0
352,Amber Robertson,5.0
353,Todd Jackson,3.9
354,David Anderson,3.9
355,Allen King,4.6
356,Andrew Smith,4.8
357,Cheryl Barton,4.5
358,Heather Davis,4.8
359,Joshua Morris,3.6
360,Nicole Berry,4.5
361,Holly Ayala,4.6
362,Johnathan Harper,3.8
363,Chad Chandler,4.7
364,Amanda Solis,4.9
365,Sarah Fernandez,4.8
366,Wendy Perry,3.9
367,Randall Ramos,4.0
368,Beth Boyer,4.2
369,Gina Davis,3.7
370,Jordan Thompson,4.9
371,Lisa Taylor,3.7
372,James Gregory,4.6
373,Carly Woodward,4.0
374,Lisa Cross,4.4
375,Ian Meyer,3.6
376,Renee Barnes,3.8
377,Mark Johnson,4.2
378,Christopher Tate,4.5
379,Dr. Angela Casey,4.7
380,Rebecca Perez,3.5
381,Clayton Sparks,3.7
382,Frank Greene,4.6
383,Andrea Parsons,4.7
384,Robert Schneider,3.9
385,Lisa Manning,3.8
386,Sarah Martinez,3.6
387,Taylor Navarro,3.7
388,Jesse Macdonald,3.5
389,Alyssa Smith,4.4
390,Nicole Morrison,4.9
391,Jonathan Reeves,3.7
392,Billy Warren,4.6
393,Leslie Gray,4.4
394,Jennifer Jimenez,4.9
395,Jason Richmond,4.7
396,Brendan Camacho,4.8
397,Stephen Zhang,4.5
398,Matthew Macias,4.7
399,Elizabeth Hall,4.0
400,Gregory Peterson,3.8
401,Jasmine Williams,4.9
402,Jaime Sloan,4.6
403,Glen Anderson,3.6
404,Misty Bailey,4.8
405,Jeremy Smith,4.0
406,David Mahoney,3.9
407,Alexis Gardner,4.4
408,Jacob Taylor Jr.,4.4
409,Gary Simon,4.3
410,Justin Fields,3.9
411,Kelly Morales,4.9
412,Andrew Lynch,4.9
413,Jimmy White,3.5
414,Anthony Morales,4.0
415,Jason Ortiz,3.6
416,Katherine Vazquez,4.8
417,Sabrina Reed,4.8
418,Jose Miller,4.3
419,Paul Hernandez,4.8
420,Cody Johnson,4.6
421,Matthew Erickson,4.2
422,Erin Collins,4.0
423,Elizabeth Maldonado,3.9
424,Carlos Jenkins,3.9
425,Jeffrey Taylor,4.3
426,Jason Parker,3.8
427,Geoffrey Leon,3.8
428,Mary Brooks,3.5
429,James Anderson,4.4
430,Brian Bray,5.0
431,Kathryn West,4.8
432,Michael Rojas,4.6
433,Shelly Jennings,4.7
434,Hannah Hurst,4.1
435,Jorge Byrd,3.9
436,Jamie Kennedy,4.1
437,Aaron Cortez,3.6
438,Michael Coleman,4.5
439,Aaron Martin,3.8
440,Alan Shelton,4.6
441,Craig Dominguez,3.8
442,Anthony Guzman,3.8
443,Gina Huerta,4.9
444,Brandon Hill,3.7
445,Claudia Benton,4.2
446,Marie Cobb,3.6
447,Justin Meyer,3.6
448,Shelby Walker,4.5
449,Rachel Raymond,4.4
450,Joshua Gutierrez,3.8
451,Gregory Miranda,4.8
452,Jacqueline Case,4.6
453,Andrew Kirby,4.0
454,Manuel Warren,3.9
455,Jeffery Evans,4.6
456,Angela Haynes,4.6
457,Gabriel Chang II,3.7
458,Daniel Medina,4.0
459,Rebecca Williams,3.8
460,Sherri Reeves,3.9
461,Valerie White,3.9
462,Brian Green,5.0
463,Ashley Rivers,4.6
464,Penny Holt,4.7
465,Jonathan Lane,3.9
466,Jamie Colon,3.5
467,Brian Jones,3.6
468,Kevin Ray,4.3
469,James Ramirez,3.9
470,Adriana Thornton,3.8
471,Christopher Mcconnell,3.6
472,Timothy Stanley,4.8
473,Katie Beltran,4.4
474,Diane Lambert,3.7
475,Lance Shepard,4.6
476,Gregory Herman,4.6
477,Alicia Perry,3.9
478,Kevin Rodriguez,3.8
479,Frederick Williams,4.7
480,Danielle Smith,4.0
481,Shawn Williams,4.8
482,Pamela Glass,3.6
483,Christopher Farrell,4.2
484,Jennifer Guzman,3.8
485,Kathleen Becker,4.5
486,Tiffany Miller,5.0
487,Tiffany Rodriguez,4.1
488,David Strickland,3.7
489,Jo Perry,4.0
490,Kim Bell,4.8
491,Aaron Reed,4.6
492,Brianna Martinez,3.8
493,Amber Blankenship,4.9
494,John Randall,4.4
495,Richard Lewis,3.8
496,Carla Johnson,4.4
497,Lynn Martinez,4.2
498,Kelly Small,4.7
499,Wendy Herrera,4.0
500,Joann Sutton,4.8
501,Lisa Hickman,4.7
502,Shannon Romero,4.5
503,Sean Morgan,3.9
504,Thomas White,5.0
505,Jennifer Carr,4.3
506,Sharon Barnes MD,4.9
507,Amanda Gutierrez,3.8
508,Jacob Bryant,5.0
509,Brooke Espinoza,4.7
510,Arthur Myers,4.9
511,Kristin Frazier,3.8
512,Anna White,4.1
513,Chad Chapman,3.6
514,Donald Hughes,3.7
515,Emily Wilson,3.9
516,Vanessa Davidson,4.9
517,Luis Briggs,4.5
518,Michael Ortiz,4.0
519,Brooke Anderson,4.9
520,Mark Garrison,4.6
521,Yvonne Adams,4.9
522,Richard Robinson,4.9
523,Mrs. Tracy Ferrell,4.6
524,Samuel Hickman,3.9
525,Jason Flowers,5.0
526,Charles Welch,4.0
527,Stephen Patel,4.5
528,Michael Ho,4.8
529,Holly Berry,3.8
530,Patricia Williams,4.4
531,Steven Keller,4.1
532,Timothy Wilson,3.9
533,Danielle Hardy,3.5
534,Latasha Barker,4.8
535,Brian Blackwell,3.7
536,Jennifer Ramos,4.8
537,James Farrell,4.4
538,Robert Smith,4.4
539,Deborah Sanchez,4.7
540,Melissa Kim,4.3
541,Stephanie Henderson,4.0
542,Daniel Bentley,3.7
543,Robert Smith,4.4
544,Gloria Jones,4.3
545,Kristina Moore,3.9
546,Danielle Jackson,4.4
547,Tracy Rodriguez,4.2
548,Timothy Collins,4.7
549,Mary Martinez,4.3
550,Hailey Richardson,4.9
551,Gregory House,4.3
552,Mary Baldwin,4.8
553,Travis Hudson,4.3
554,Kaitlyn Gardner,4.3
555,Dylan Chapman,4.1
556,Abigail Nguyen,4.1
557,Nicholas Barnes,4.9
558,Marissa Mitchell,3.8
559,Edward Adams,3.7
560,Glenn Blackwell,4.7
561,Rachel Mueller,4.4
562,Thomas Espinoza,3.9
563,Hannah Gallagher,4.1
564,Stacy Obrien MD,4.3
565,Jerry Richards,4.4
566,Brendan Montgomery,4.7
567,Suzanne Ruiz,4.1
568,Debra Li,4.5
569,Ronald Walters,4.8
570,Matthew Nelson,4.8
571,Elaine Ward,3.9
572,Keith Carter,4.0
573,Charlotte Rivers,4.4
574,Justin Sullivan,4.8
575,Brianna Walsh,4.7
576,Richard Hoover,4.4
577,Joshua Kelley,5.0
578,Cheryl Newton,4.2
579,Samantha Lowe,4.8
580,Jessica Jones,4.7
581,Jose Bailey,4.9
582,Virginia Klein,5.0
583,Kayla Williams,4.2
584,Michael Bailey,3.8
585,Omar Mckinney,4.2
586,Miss Victoria Patel,4.8
587,Brian Massey,4.8
588,Lindsey Foster,4.0
589,Andrea Robinson,3.6
590,Raymond Walton,4.3
591,Diane Benson,4.2
592,Stephanie Hernandez,3.6
593,Adam Brooks,4.7
594,Elizabeth Mckinney,3.9
595,Nicholas Escobar,4.5
596,Amy Glover,3.7
597,Dr. Leslie Brown DDS,4.8
598,Emma Carter,4.6
599,Joshua Davidson,4.1
600,Rebecca Cruz,4.4
601,Lauren West,3.8
602,Lisa Hawkins,5.0
603,Joseph Green,4.7
604,Hannah Evans,4.7
605,Krystal Arnold,3.7
606,John Douglas,3.5
607,Madison Blackburn,4.4
608,Sarah Lopez,3.7
609,Krystal Brown MD,4.7
610,Donald Garcia,4.1
611,Michael Rangel,4.0
612,William Wiley,3.6
613,Cassandra Monroe,5.0
614,Henry Smith,4.9
615,Brad Love,3.7
616,Daniel Davis,4.0
617,Katherine Cook,4.1
618,Courtney Carpenter MD,3.9
619,Karen Gonzales,4.9
620,Kerri Lopez,4.6
621,Barbara Austin,4.9
622,Nicholas Wilson,4.8
623,Ashley Hanna,4.6
624,Katherine Williams,4.5
625,Randall Bennett,4.8
626,Cody Smith,4.5
627,Kyle Miller,3.8
628,Amanda Schmitt,4.5
629,Yvonne Lopez,4.3
630,Veronica Marshall,5.0
631,Rita Ward,4.3
632,Glenn Smith,3.6
633,Trevor Smith,3.9
634,Anita Peters,4.9
635,Michelle Mathews,4.9
636,William Dawson,4.6
637,Connor Ballard,3.6
638,Michelle Wang,3.5
639,Alex Petty,4.2
640,Jodi Shaffer,5.0
641,Megan Bauer,4.8
642,Alicia Vega,4.9
643,Gabrielle Jackson,4.4
644,Keith Clay,4.8
645,Shirley Adams,4.0
646,Patty Todd,3.5
647,Kyle Miller,4.9
648,Judy Stephens,3.8
649,Marc Wilson,4.6
650,Timothy Harris,4.5
651,Cody Hernandez,3.7
652,Rachel Peterson,3.8
653,Rachel Brandt,4.0
654,Brett Bean,4.6
655,Stephanie Lozano,3.6
656,Todd Daugherty,4.1
657,Angela Benson,4.5
658,Jennifer Richards,3.8
659,James Schaefer,3.7
660,Danielle Olson,4.1
661,Amanda Best,3.9
662,Shelly Woods,4.5
663,Haley Hayes,5.0
664,David Caldwell,3.5
665,Sonia Robinson,4.9
666,Marcus Boone,4.1
667,Wanda Hoffman,4.5
668,Christopher Hansen,4.8
669,Jacob Dunlap,4.4
670,Richard Gonzalez,3.6
671,Kristen Alvarado,3.7
672,Shane Velazquez,4.7
673,Becky Rogers,3.8
674,Jessica Paul,4.4
675,Scott Spencer,4.1
676,Tammie Salazar,4.0
677,Robert Bray III,4.7
678,Robert Hays,4.6
679,David Yang,4.5
680,Mark Brown,4.1
681,Emily Johnson,3.8
682,Emily Henderson,4.3
683,Holly Ross,4.7
684,James Bailey,4.4
685,Brent Allen,5.0
686,Dennis Hall,3.5
687,Carrie Black,5.0
688,Cassandra Gillespie,4.5
689,Isaiah Carlson,4.7
690,Tonya Morgan,4.0
691,Jordan Anderson,4.3
692,Caleb James,4.7
693,Andrew Willis,4.6
694,Kenneth Brown,4.0
695,Megan Brooks,4.0
696,Cynthia Lee,4.5
697,Devon Johnson,4.9
698,Raymond Bean IV,4.2
699,Thomas Peterson,4.0
700,Adam Mendoza,4.8
701,Debra Johnson,4.5
702,Sharon Lara,4.1
703,Amy Gardner,3.6
704,Kyle Cooper,4.6
705,Mark Franklin,4.0
706,Jose Martinez,3.6
707,Rachael Pollard,4.4
708,Lori Watkins,4.0
709,Alexandra Mendoza,4.0
710,Phillip Taylor,4.2
711,Craig May,4.6
712,Stephanie Munoz,3.9
713,Joshua Shea,3.6
714,Sandra Roberson,4.1
715,Laura Friedman,3.6
716,Jeffrey Archer,4.5
717,Abigail Dillon,4.9
718,Mark Hall,4.5
719,John Davis,3.9
720,Nathan Roberts,3.8
721,Frank Brown,3.8
722,Richard Bowen,3.8
723,Corey Moss,4.0
724,Michael Murphy,3.6
725,Tyler Carlson,4.8
726,Lynn Erickson,4.8
727,Michael Freeman,4.4
728,Victoria Baldwin,3.6
729,Allen Foster,4.7
730,Richard Collins,3.6
731,Robert Padilla,3.7
732,Robert Horton,4.0
733,Taylor Charles,4.1
734,Kelly Shaw,4.0
735,Sarah Stone,3.7
736,Morgan Ruiz,3.7
737,Kyle Butler,4.8
738,Steven Jackson,4.0
739,Brian Curtis MD,3.8
740,Ashley Hensley,4.2
741,Amy Marshall,3.6
742,Samantha Carter,4.4
743,Laura Hicks,3.9
744,Maria Lynn,4.4
745,Tamara Adams,4.4
746,Tim Melendez,4.7
747,Savannah Torres,3.8
748,Isaac Rice,4.2
749,Mckenzie Ramirez,4.9
750,David Cain,4.6
751,Suzanne Powell,5.0
752,William Donaldson MD,4.9
753,Sherri Pierce,4.4
754,Sean Jones,3.9
755,Nicole Craig,4.6
756,Deborah Robinson,4.5
757,Ronnie Noble,4.4
758,Jennifer Harris,4.5
759,Elizabeth Brown,4.4
760,Aaron Miles,4.3
761,Thomas Melton,4.1
762,Wanda Weiss,3.6
763,Mark Hart,4.8
764,James Paul,4.8
765,James Burke,4.4
766,David Odonnell,3.9
767,Bryan Davis,3.5
768,Brandon Moore,3.5
769,Alexandra Mccarthy,3.6
770,Paul Ferguson,4.0
771,Laura Fry,3.8
772,Joshua Robertson,3.9
773,Brenda Castro,4.5
774,Mike Foley,4.9
775,Tracy Ferguson,3.8
776,Douglas Williams,4.2
777,Christine Lee,5.0
778,Mr. Aaron Palmer PhD,4.9
779,Sherry Lang,4.0
780,Kevin Wiley,4.0
781,Tracie Diaz,3.9
782,Gary Torres,3.7
783,Ernest Wilson,4.2
784,Tammy Byrd,4.0
785,Taylor Jones,4.6
786,Jessica Warren,3.9
787,Sara Strong,4.6
788,Debra Jones,3.9
789,James Sharp,4.4
790,Cody Charles,4.5
791,Robert Hayes,4.5
792,Tracy Abbott,3.8
793,Kathryn Moore,3.9
794,Jeremy Cole,3.9
795,James Livingston,4.4
796,Andrew Reid,3.6
797,Christina Thompson,4.3
798,Joshua Cruz,3.6
799,Christopher Wilson,4.0
800,Julie Wood,4.5
801,Jasmine Holloway,4.1
802,Alexandria Wagner,3.9
803,Stephanie Smith,4.4
804,Kelly Guzman,4.6
805,Kristin Wilson,3.9
806,Paige Wilson,3.9
807,David Tanner,4.5
808,Matthew York,4.9
809,Jennifer Patterson,3.8
810,Susan Cohen,4.5
811,Derek Fernandez,4.9
812,Adrian Murray,4.2
813,Tiffany Sloan,4.0
814,Corey Rodriguez,4.5
815,Donald Garza,3.5
816,Jennifer James,4.0
817,Isaac Morgan,3.9
818,Felicia Jones,3.8
819,Douglas Andrews,3.8
820,Jimmy Holt,4.6
821,Amanda Mendoza,4.9
822,Kevin Parker,4.1
823,Tara Kelley,3.6
824,Jennifer Vaughn,4.6
825,Tina Marshall,4.3
826,Joseph Hester,4.6
827,Marie Cole MD,4.5
828,Marissa Page,4.9
829,Steven Foley,3.7
830,Jordan Christensen,3.8
831,Troy Pacheco,4.0
832,Jason Reese,4.2
833,Rachael Ortiz,4.9
834,Sara Rosario,4.9
835,Joshua Marsh,4.8
836,Patricia Davis,3.8
837,William Yu,4.6
838,Brent Short,4.1
839,Kevin Murray,4.9
840,Cindy Gonzales,3.8
841,Christopher Marks,3.7
842,James Jackson,4.8
843,James Larson,4.6
844,Joseph Rice,4.7
845,Joshua Burton,3.7
846,Tammy Cross,4.8
847,Samantha Lowe,4.5
848,Tiffany Woods,4.5
849,Darren Schultz,4.4
850,Jessica Reeves,4.6
851,Christopher Zimmerman,4.1
852,Carmen Diaz,3.7
853,Bobby Stevens,4.3
854,Jeffrey Hinton,4.6
855,Lisa Blair,3.7
856,Richard Lopez,3.8
857,David Carter,4.5
858,David Murray,3.9
859,Angela Harris,3.8
860,Teresa Martinez,4.8
861,John Rios,3.7
862,Chelsea Mckay,4.0
863,James Smith,4.1
864,Cindy Barrett,4.2
865,Stephanie Ray,4.0
866,Shannon Wallace,4.9
867,Tanya Riley,4.5
868,Gregory Lee,4.0
869,Shane Hatfield,4.0
870,Travis Juarez,4.3
871,Teresa Freeman,3.6
872,Sergio Luna,4.9
873,Scott Moore,3.8
874,Howard Walker,4.5
875,Matthew Perez,4.7
876,Joseph Spencer,4.7
877,Jason Martinez,3.7
878,Jason Medina,4.3
879,Jason Hart,3.6
880,Maria Rivera,4.7
881,Harold Vasquez,4.2
882,Kevin Johnson,3.7
883,William Mueller,4.6
884,Debra Williams,4.0
885,Terry Hampton,3.7
886,Suzanne James,4.2
887,Traci Warner,3.9
888,Andrew Orozco,4.9
889,Frank Burns,4.0
890,Michael Baldwin,4.4
891,Joshua Thompson,4.9
892,Jason Foley,4.1
893,Stephanie Watkins,4.0
894,Daniel Lopez,3.7
895,Madison Davidson,4.9
896,Shari Hansen,4.7
897,Dr. Kimberly Little PhD,3.8
898,Meagan Hernandez,4.0
899,Margaret Steele,4.9
900,Christopher Jackson IV,4.3
901,Jennifer Martinez,4.3
902,Brooke Jones,4.5
903,Samuel Robinson,4.6
904,Kathleen Elliott,4.9
905,Tracey Lane,4.7
906,James Riley,4.9
907,Michael Campbell,4.7
908,Christina Green,3.6
909,Brooke Hill,3.7
910,Melissa Quinn,4.8
911,Kelly Jordan,3.5
912,Willie Gordon,4.7
913,Cristina Elliott,4.8
914,Christopher Bowers,4.1
915,Mark Gutierrez,4.0
916,Angel Santos,3.8
917,Ryan White,3.6
918,Larry Cook,4.6
919,Adrian Leach,3.6
920,Randy Dickerson,4.9
921,Jerry Hopkins,3.9
922,Jacqueline Hebert,4.7
923,Jon Garcia,3.6
924,Stacie Lyons,4.3
925,Brittany Williams,4.0
926,Elizabeth Hernandez,3.5
927,Stephanie Wilson,4.5
928,Edward Moore,4.9
929,Marc Bailey,3.5
930,Patrick Jones,3.9
931,Sonya Riley,4.6
932,Craig Carrillo,4.8
933,Thomas Gonzales,3.8
934,Amanda Hernandez,3.6
935,Teresa Garcia,3.5
936,Wendy Walsh,3.8
937,Jessica Ware,3.6
938,Samantha Green,4.0
939,Timothy Lutz,4.2
940,Lori Hoover,4.2
941,Krista Zimmerman,3.7
942,John Weaver,4.2
943,Ashley Zavala,3.5
944,Marc Miller,3.9
945,Samuel Norris,4.1
946,Danielle Larsen,3.7
947,Jody Smith,4.7
948,Nancy Huber,3.8
949,Kenneth Small,4.6
950,Andrea Robinson,4.2
951,Sharon Adams,4.2
952,Thomas Estrada,4.5
953,Jennifer Guzman,3.6
954,Paula Davis,3.6
955,Tara Flores,4.0
956,Reginald Waters,4.1
957,Traci Erickson,4.1
958,Anthony Moore,4.5
959,Jeffrey Morrow,3.5
960,Tracy Hubbard,4.9
961,Elizabeth Knox,3.8
962,Gregory Gilbert,3.9
963,Nathan Boone,4.9
964,Christopher Morris,3.5
965,James Solis,5.0
966,Thomas Garcia,3.6
967,Nancy Tucker,3.7
968,Tonya Morgan,3.9
969,Wendy Morrison,4.2
970,James Johnson,4.3
